leiden,patient_entropy_bits,n_patients_in_cluster,n_patches_total
0,0.0,1,5442
1,0.7349461876648594,6,3025
2,0.37801835723202076,4,2768
3,1.0207925315270914,5,2607
4,0.0,1,2571
5,0.9718610861778126,5,2432
6,0.01983098107982985,3,2304
7,0.005542308371168684,2,2272
8,2.253338916676033,5,2152
9,2.197786955730992,5,1857
10,0.0,1,1680
11,0.025906798440429517,2,1550
12,0.0,1,1220
13,0.06435453756989772,4,929
14,2.260587499188062,6,868
15,0.5619550490481175,7,829
16,0.030701462104904848,3,711
17,0.0,1,272
18,0.9782823907994933,2,208
19,0.7702433799988653,4,186
