leiden,patient_entropy_bits,n_patients_in_cluster,n_patches_total
0,6.4932143162136295,108,31988
1,1.0016166480347828,3,16795
2,1.1841258861502204,6,15505
3,1.0331105048966989,6,14454
4,2.299745824822895,13,11062
5,1.1232085868174206,11,10633
6,1.9862727145003953,4,9847
7,1.0009660663031061,3,8972
8,1.0145112306342805,5,8554
9,1.09823841922986,8,7656
10,4.456522909728594,70,7327
11,0.9830912505020488,4,6972
12,0.07282705181086033,7,6964
13,0.35406361920499724,9,5893
14,0.015349483860684623,2,4978
15,0.0,1,4832
16,0.2698039312925587,8,4722
17,0.3422532410377855,9,4547
18,0.10284858878795208,4,4205
19,0.32291264328046554,9,4023
20,1.717696538387605,10,3944
21,0.0994703140561694,5,3519
22,0.007567078844623065,3,3492
23,1.909452162315256,5,3332
24,1.9737263652833115,4,3290
25,3.543682811637115,55,3057
26,0.0,1,2808
27,0.2899457323362967,8,2681
28,0.013299429601765058,2,2516
29,0.0,1,2339
30,0.016963392509557296,2,1901
31,0.07381607454090935,5,1814
32,2.6146172130583576,10,1737
33,0.0,1,1621
34,1.7985887295257106,14,1134
35,1.0,2,148
36,1.0,2,38
